SamplePointID,t551_CreatedByWhom,year,BioRegion,Tenure,CrownDamage,t500_VicGridXGIS,t500_VicGridYGIS
PE2640N2572,andrewclark,2021,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,0.8333333333333334,2640000.0,2572000.0
PE2640N2580,charleschikono,2018,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,16.666666666666668,2640000.0,2580000.0
PE2640N2584,andrewclark,2019,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,13.75,2640000.0,2584000.0
PE2642N2424,charleschikono,2019,SOUTH EASTERN HIGHLANDS,STATE FOREST,10.0,2642000.0,2424000.0
PE2644N2572,charleschikono,2020,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,24.0,2644000.0,2572000.0
PE2644N2580,andrewclark,2021,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,7.0,2644000.0,2580000.0
PE2648N2424,andrewclark,2021,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,37.5,2648000.0,2424000.0
PE2648N2436,andrewclark,2017,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,16.875,2648000.0,2436000.0
PE2648N2448,charleschikono,2018,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,11.0,2648000.0,2448000.0
PE2648N2460,andrewclark,2019,SOUTH EASTERN HIGHLANDS,PARK/RESERVE,15.625,2648000.0,2460000.0
PE2648N2576,charleschikono,2018,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,13.333333333333334,2648000.0,2576000.0
PE2648N2580,andrewclark,2019,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,11.25,2648000.0,2580000.0
PE2648N2592,charleschikono,2020,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,39.44444444444444,2648000.0,2592000.0
PE2650N2450,charleschikono,2019,AUSTRALIAN ALPS,PARK/RESERVE,10.0,2650000.0,2450000.0
PE2650N2470,andrewclark,2021,AUSTRALIAN ALPS,PARK/RESERVE,5.0,2650000.0,2470000.0
PE2650N2480,andrewclark,2017,AUSTRALIAN ALPS,PARK/RESERVE,15.0,2650000.0,2480000.0
PE2652N2332,andrewclark,2019,SOUTH EAST COASTAL PLAIN,STATE FOREST,10.625,2652000.0,2332000.0
PE2652N2552,andrewclark,2016,NSW SOUTH WESTERN SLOPES,STATE FOREST,12.5,2652000.0,2552000.0
PE2652N2556,charleschikono,2018,NSW SOUTH WESTERN SLOPES,STATE FOREST,12.777777777777779,2652000.0,2556000.0
PE2652N2572,andrewclark,2021,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,12.142857142857142,2652000.0,2572000.0
PE2652N2584,andrewclark,2016,NSW SOUTH WESTERN SLOPES,PARK/RESERVE,11.0,2652000.0,2584000.0
PE2656N2332,andrewclark,2021,SOUTH EAST COASTAL PLAIN,STATE FOREST,15.0,2656000.0,2332000.0
PE2656N2340,charleschikono,2018,SOUTH EAST COASTAL PLAIN,STATE FOREST,11.428571428571429,2656000.0,2340000.0
PE2656N2348,charleschikono,2019,SOUTH EAST COASTAL PLAIN,STATE FOREST,15.0,2656000.0,2348000.0
PE2656N2352,andrewclark,2020,SOUTH EAST COASTAL PLAIN,STATE FOREST,11.25,2656000.0,2352000.0
PE2656N2552,andrewclark,2019,NSW SOUTH WESTERN SLOPES,STATE FOREST,11.25,2656000.0,2552000.0
